review,review_clean,sentiment
"The headphone have the best bass and perfect to fit and fixed the on the head.....that mi a1 provide large range of Bluetooth.....and mic working fine on Bluetooth,wire also....READ MORE",headphone best bass perfect fit fixed headthat provide large range bluetoothand mic working fine bluetoothwire alsoread,POSITIF
great looks n very light weight sound is very cool but design is ok ok. the ears couf is cheaper in quality.. after 15 minutes you feel pain in ur ears n sweating. sound quality is excellent n base is awesome.. it is value for money in this price range thanks to flipkart for this... calling feature is also very poor.READ MORE,great look light weight sound cool design ear couf cheaper quality minute feel pain ear sweating sound quality excellent base awesome value money price range thanks flipkart calling feature also poorread,POSITIF
"I am using this headphone since 6 months, great bass I am a songs lover and like to listen all types of song, this headphone is great for all kind of music from trance or edm to hindi old song and great battery life tooo great buy bole to Paisa VasooooolREAD MORE",using headphone since month great bass song lover like listen type song headphone great kind music trance edm hindi old song great battery life tooo great buy bole paisa vasooooolread,POSITIF
Sound quality is good. But cannot wear it for more than 10 minutes. It's sooo uncomfortable. My ears start paining because of its small size. I feel like somebody is pressing my ears from both the sides with great force. Boat needs to improve its design.READ MORE,sound quality good wear minute sooo uncomfortable ear start paining small size feel like somebody pressing ear side great force boat need improve designread,NEGATIF
"Reson for 1 star : Sounds for alerts for connection, low battery, incoming calls etc. plays at 10 times of volume then the volume that we usually hear anything on headphones. These notification plays at sound level that everyone in the room will hear it. Imagine it playing when u r wearing this headphones. It's like a blast in ur ears out of nowhere. When it plays like that loud when I'm wearing it, I wish to throw it away.Reason why I hvnt thrown it away yet : decent sound quality and ba...READ MORE",reson star sound alert connection low battery incoming call etc play time volume volume usually hear anything headphone notification play sound level everyone room hear imagine playing wearing headphone like blast ear nowhere play like loud wearing wish throw awayreason hvnt thrown away yet decent sound quality baread,NEGATIF
"yes it is good in all aspect..except mic, i tried to talk using mic over bluetooth but other person cannot hear it clearly and also that low sound irritates them... ..so if you want something to enjoy music in budget and quality this is good.. ...and yes it is tight but with use it gets loosen little but not comfortable for big head, i feel my head is small so in a week i got comfortable with it and keeping the volume mid range you can use it for hours like i use for 2-3 hrs a day but keepi...READ MORE",yes good aspectexcept mic tried talk using mic bluetooth person hear clearly also low sound irritates want something enjoy music budget quality good yes tight use get loosen little comfortable big head feel head small week got comfortable keeping volume mid range use hour like use hr day keepiread,NEUTRE
"sound: its relay rock when I compare with other headphones I used HP, LG, Sony...     battery: thanks to the designer awesome battery backup  if u hearing songs on ful day the battery back for 2 days. ..  negative; the mic was not clear when we drive its not audible & also when we speaking calls the sound not louder it head phones...if this s/b improved it headphones relay wonderful product.... for 1499 worth no doubt please go with this....also customer service response is good rate 4/5....I...READ MORE",sound relay rock compare headphone used sony battery thanks designer awesome battery backup hearing song ful day battery back day negative mic clear drive audible also speaking call sound louder head phonesif improved headphone relay wonderful product worth doubt please thisalso customer service response good rate iread,POSITIF
battery backup good some times tight on the head Bluetooth is connective good speakers good bass is good and boat really rocking guys I am bought product dasar in cost 999 rs price reasaonble what r the observeve in use 2 months what r the changes waiting u battery indicated good.really happy in this product and delivery is goodREAD MORE,battery backup good time tight head bluetooth connective good speaker good bass good boat really rocking guy bought product dasar cost price reasaonble observeve use month change waiting battery indicated goodreally happy product delivery goodread,NEUTRE
Good product..sound quality is good but bass is not so heavy as they are saying. I saw that this product has got 4.3 ratings then I placed order. Now truly saying that I am some of dissatisfied with this product. Bluetooth connectivity is good but I there is a huge lack can be shown when some music tracks are playing through Bluetooth. No issues for aux mode. Built quality is not so good. The main thing I was searching for a bass heavy headphones and they are saying that this is bass heavy so...READ MORE,good productsound quality good bass heavy saying saw product got rating placed order truly saying dissatisfied product bluetooth connectivity good huge lack shown music track playing bluetooth issue aux mode built quality good main thing searching bass heavy headphone saying bass heavy soread,POSITIF
"Best budget headset at this price range @999, so buy it during offers period. sound quality is awesome, bass is extremely good and battery backup is 8 hours and charging time is 1 and half hours. MAIN CONS : 1)Tight ear cuffs ,2) sweating in just 20 minutes and we want to adjust it in regular intervals, and  mike quality is worst , the other person is hearing the more surrounding noise. 3)overall rating is 8.5/10 and  for bass 9/10, sound quality 9/10, built quality 7/10, battery backup 9/...READ MORE",best budget headset price range buy offer period sound quality awesome bass extremely good battery backup hour charging time half hour main con tight ear cuff sweating minute want adjust regular interval mike quality worst person hearing surrounding noise overall rating bass sound quality built quality battery backup read,POSITIF
"Superb Sound😍 Quality, good design very comfortable and good bettary life. Overall Amazing product from #boat 😍👌READ MORE",superb sound quality good design comfortable good bettary life overall amazing product boat read,POSITIF
Amazing Audio product from boAt.• Superb bass.• Crystal Clear sound. • Awesome Battery backup.Go for it Without Any Kind of Hesitation.Great deal at such PriceREAD MORE,amazing audio product boat superb bass crystal clear sound awesome battery backupgo without kind hesitationgreat deal priceread,POSITIF
awesome product at this prize and what a deal by phone pe app i get this only 700 rs. good sound quality go for itREAD MORE,awesome product prize deal phone app get good sound quality itread,POSITIF
"today i get this product.. it's really very good product in this price range.. connectivity, sound quality, battery backup and built quality everything is very good..very good Ekart delivery service also.. Thank u flipkart.. guys go for it..👌👌😍😍😁😁🤗🤗👍👍READ MORE",today get product really good product price range connectivity sound quality battery backup built quality everything goodvery good ekart delivery service also thank flipkart guy itread,POSITIF
super great product iam love it thank you FlipkartREAD MORE,super great product iam love thank flipkartread,POSITIF
Nice headphones grt sound quality I'm very much impressed connectivity iz fast and battery backup iz fabulous...... But headband iz lill tight u can't wear it for long time otherwise grt product fully satisfied.........READ MORE,nice headphone grt sound quality much impressed connectivity fast battery backup fabulous headband lill tight cant wear long time otherwise grt product fully satisfiedread,POSITIF
1. Sound quality is best......     2. Look was super stylish headphone..... 3.. Packaging is superb..      4. Right tym to delevired... Thanku flipkart.....READ MORE,sound quality best look super stylish headphone packaging superb right tym delevired thanku flipkartread,POSITIF
Wooowwww superb product😇 with good effect and sound clarity👏 Bluetooth r working good with system and Mobile phone... Headphones with charger cable and also with connecting wire and 1yr warranty woooww ♥️ thank you 🥰READ MORE,wooowwww superb product good effect sound clarity bluetooth working good system mobile phone headphone charger cable also connecting wire warranty woooww thank read,POSITIF
"To me this headphone is better choice in this budget. It's sound quality just awesome. Battery backup is perfect approx 9 to 10 hours. But, build quality is average. In one word it is a better choice.READ MORE",headphone better choice budget sound quality awesome battery backup perfect approx hour build quality average one word better choiceread,POSITIF
best bluetooth headset under this price range totally worth it  you should buy this amazing product thank you Flipkart for delivering me in very short period of timeREAD MORE,best bluetooth headset price range totally worth buy amazing product thank flipkart delivering short period timeread,POSITIF
"This headfone is very beautiful , it's sound quality is osm, it's bass is very powerful ,nice product (( thanks flipcard for delivering me ao quickly, i salute all flipcard staff, love you flipcard ,  👍👍👍READ MORE",headfone beautiful sound quality osm bass powerful nice product thanks flipcard delivering quickly salute flipcard staff love flipcard read,POSITIF
The best device in this range. Bass quality is best. Simply loved this device. Got delivered in just 2 days.Light weight. White and neon colour is simply wow. Perfectly rests on the ears and comfortable as well.Go for it. Thanks BOAT 🤟READ MORE,best device range bass quality best simply loved device got delivered dayslight weight white neon colour simply wow perfectly rest ear comfortable wellgo thanks boat read,POSITIF
light weight and easy to carry anywhere and attractive model awesome service from flipkart love itREAD MORE,light weight easy carry anywhere attractive model awesome service flipkart love itread,POSITIF
Headphones are very beautiful and classy.. very light weight actually they worth it.bass is awesome also with good sound quality....READ MORE,headphone beautiful classy light weight actually worth itbass awesome also good sound qualityread,POSITIF
"awesome prodect got it for 999,boat company is good is providing good & durable prodect........READ MORE",awesome prodect got boat company good providing good durable prodectread,POSITIF
.I really love this product 😍💕💕 its sound quality 👌👌👌👌 awesome I prefer to buy this friends and it's built quality is relay awesome guys love this productREAD MORE,really love product sound quality awesome prefer buy friend built quality relay awesome guy love productread,POSITIF
sound is tooo good...and the quality is too good I m happy ...device sound quality is most important for the best quality of music....READ MORE,sound tooo goodand quality good happy device sound quality important best quality musicread,POSITIF
"The boat product is good excellent headphone to buy with Bluetooth without wire to use good. wire also added with it  sound ,bass is perfect what waiting order now enjoy nowREAD MORE",boat product good excellent headphone buy bluetooth without wire use good wire also added sound bass perfect waiting order enjoy nowread,POSITIF
Delivery is to slow.Sound quality is super and bass is also good. Build quality is not bad and battery is also good.I have one major problem is the mic not good because some times the mic is not clearly to calling person their voice is clear but our voice not clear to there.READ MORE,delivery slowsound quality super bass also good build quality bad battery also goodi one major problem mic good time mic clearly calling person voice clear voice clear thereread,POSITIF
Simply amazing when I see it and also sound 💯👌 with bass but when I wear it first time it is tight after sometime it is good 😊.I am happy with it.READ MORE,simply amazing see also sound bass wear first time tight sometime good happy itread,POSITIF
perfect in this price range .go for it . absolutely amazing one .u will feel no delay in pubg sound .the sound is perfectly synchronised with the game .i bought this for playing pubg mainly .so pubg users if u r looking for a good headphone under 2000 then this is it .if my review is helpful then hit likeREAD MORE,perfect price range absolutely amazing one feel delay pubg sound sound perfectly synchronised game bought playing pubg mainly pubg user looking good headphone review helpful hit likeread,POSITIF
This was good. As the sound is so good .I am using it since 2 weeks and i am fully satisfied with it.The noice cancellation is a little issue but it is good .The prices are little bit high according to the quality offered. I will not recommend this product .You can go over any other headphones.I am not totally satisfied.READ MORE,good sound good using since week fully satisfied itthe noice cancellation little issue good price little bit high according quality offered recommend product headphonesi totally satisfiedread,NEUTRE
Design and colour  was  very good . the sound quality was awesome . I love it very much this product.READ MORE,design colour good sound quality awesome love much productread,POSITIF
1st of all its very popular and boat is very good in sound production they have heavy and punchy bass which is nice used many boat ear phones and the experience was nice and with this boat rockerz 400 its even better yes it will feel uncomfortable if you have been fond of over the ear headphones rather than that sound is great bass is awesome build is good design is stylish battery backup is also preety good...If you are buying an on the ear headphone for the 1st time and never used an over t...READ MORE,popular boat good sound production heavy punchy bass nice used many boat ear phone experience nice boat rockerz even better yes feel uncomfortable fond ear headphone rather sound great bass awesome build good design stylish battery backup also preety goodif buying ear headphone time never used tread,POSITIF
Product is good battery backup is also good. I recommend you should buy this product at once in our life at this price range this is the best bluetooth headphoneREAD MORE,product good battery backup also good recommend buy product life price range best bluetooth headphoneread,POSITIF
"Firstly, Thanks to Flipkart...I got the headphones 4 days earlier...!!...just imagine...Blazing fast delivery by Flipkart..Ok so I am reviewing after using it for 5 days..1. Design & Comfort -Frankly speaking, these were my first headphones. Design is pretty satisfactory and you can show off in front of your friends ;-). I purchased Black and red one. The ear-cups are adjustable and I had no problem in wearing.Now Comfort, many were saying these are very tight and uncomfortable but honest...READ MORE",firstly thanks flipkarti got headphone day earlierjust imagineblazing fast delivery flipkartok reviewing using day design comfort frankly speaking first headphone design pretty satisfactory show front friend purchased black red one earcups adjustable problem wearingnow comfort many saying tight uncomfortable honestread,POSITIF
"I bought in a flipkart sale at Rs999 and I must say it's worth at this price ,bass is pretty cool , sound quality is awesome .Bt I still Give 4 star to it becoz it's little uncomfortable if uh wear it  more than 10min. your ears start getting pain bt after some week you'll get used to it?READ MORE",bought flipkart sale must say worth price bass pretty cool sound quality awesome still give star becoz little uncomfortable wear min ear start getting pain week youll get used itread,POSITIF
"U cannt bought anything in that cheap price from a well known brand, it's worthy and if I'll talk about sound then it's amazing and battery backup is also good and it's light weight to carry but on the other hand calling quality isn't good enoughREAD MORE",cannt bought anything cheap price well known brand worthy ill talk sound amazing battery backup also good light weight carry hand calling quality isnt good enoughread,POSITIF
Stylish Beautiful and best BASS quality...It feels like.heaven !! LIstening through this is fun...happy for this purchase..grabbed at just Rs.1099/ maybe the cheapest till now...bit tight bt maybe I'll get used to it!!Best wid Windows 10 as well..loved itTHANX FLIPKART!!READ MORE,stylish beautiful best bass qualityit feel likeheaven listening funhappy purchasegrabbed maybe cheapest till nowbit tight maybe ill get used itbest wid window wellloved itthanx flipkartread,POSITIF
"awesome product,  super quality,  clear n high volume sound,  you can change your songs. cushion quality is goodREAD MORE",awesome product super quality clear high volume sound change song cushion quality goodread,POSITIF
"This product is very good.1. The super extra bass is working properly.2.battery backup is best normally 8-9 hours.3. charging time is correct as description as product details.4.in the box a audio plug, charger cable,warranty card, user manual,etc.5.With high definition balanced sound.6. Next & previous function not working in laptop but it works in mobile.READ MORE",product good super extra bass working properlybattery backup best normally hour charging time correct description product detailsin box audio plug charger cablewarranty card user manualetcwith high definition balanced sound next previous function working laptop work mobileread,POSITIF
•Very Good Headphone For Playing Games Like PUBG•You Easily Get Each & Every Footsteps With This.•But It Have Some Sound Delay With Bluetooth Mode.•But With Aux Cable It Works PERFECTLY FINE.Sound 🌟🌟🌟🌟🌟Bass    🌟🌟🌟🌟🌟Battery  🌟🌟🌟🌟🌟READ MORE,good headphone playing game like pubgyou easily get every footstep thisbut sound delay bluetooth modebut aux cable work perfectly finesound bass battery read,POSITIF
"This is my honest review after 10 months of use. I bought this for 1499 from flipkart.If you are a bass lover go for it without any confusion.The base is very punchy you can feel your ear vibrate with thisPros:-* Punchy bass. Dont know if any other headsets can provide this much bass* Mids & treble are crystal clear. You can hear every instruments* Battery backup is excellent. I,m getting upto 3 days with above moderate use and if used accordingly we can push upto a week.* Charges quic...READ MORE",honest review month use bought flipkartif bass lover without confusionthe base punchy feel ear vibrate thispros punchy bass dont know headset provide much bass mids treble crystal clear hear every instrument battery backup excellent getting upto day moderate use used accordingly push upto week charge quicread,POSITIF
I give reviw after 7 month using  this is awesome  working Nd good condition yet ....  Best use for gaming movies song high &  loud quality Betty backup is good  i feel more than 8 hour it's work  but I can give 4 star cause u  feel disappoint while callingREAD MORE,give reviw month using awesome working good condition yet best use gaming movie song high loud quality betty backup good feel hour work give star cause feel disappoint callingread,POSITIF
this headphones are very good in this price range go for it sound quality is excellent and it provides a great bass build quality is excellent battery backup is greatgo for itREAD MORE,headphone good price range sound quality excellent provides great bass build quality excellent battery backup greatgo itread,POSITIF
excellent sound quality with superior bass backed with great battery power and feather light  built quality... Mind blowing purchase..  good  for music enthusiasts.. and wise choice to purchase this at this price range... I'm totally loving it!! 😘READ MORE,excellent sound quality superior bass backed great battery power feather light built quality mind blowing purchase good music enthusiast wise choice purchase price range totally loving read,POSITIF
Good headphones gives u a decent bass. very comfortable but if it takes almost 3-4 days to adjust its elasticity although if u want a good headphones with overall decent quality go for it but if need extreme bass  buy the skull candy.READ MORE,good headphone give decent bass comfortable take almost day adjust elasticity although want good headphone overall decent quality need extreme bass buy skull candyread,POSITIF
Its aa very very amazing product those wo want to buy u recommended in this price this is the one of the best products ny according i buy this and this is my best headphone. This is the best i luv boatREAD MORE,amazing product want buy recommended price one best product according buy best headphone best luv boatread,POSITIF
"value for money, got this headphone for 1k in summer sale,sound quality is awesome with good bass and very good noise cancelation, also it connects to the devices very quickly n those devices shows battery percentage of headphone also this is thr coolest thing of headphone, if u often listen music then this headphone is for u so go for it.....must buy headphone satisfied with my purchaseREAD MORE",value money got headphone summer salesound quality awesome good bass good noise cancelation also connects device quickly device show battery percentage headphone also thr coolest thing headphone often listen music headphone itmust buy headphone satisfied purchaseread,POSITIF
"The sound quality is awesome no more queries about it but, in the built design the ear cups are not comfortable if we wear about 20 to 30 minutes our ear may start getting pain.so please make a big ear cup that may feel comfortable for listening and overall it is good.READ MORE",sound quality awesome query built design ear cup comfortable wear minute ear may start getting painso please make big ear cup may feel comfortable listening overall goodread,POSITIF
It's amazing but one problem is after 1 month it's USB code didn't work properly .But overally it's a nice product .READ MORE,amazing one problem month usb code didnt work properly overally nice product read,POSITIF
GReat headphones one of the best.  Great bass And Beats but the main con of  it is that they are a bit uncomfortable so...I won't recommend you to buy them If your head is big Or you are a adult...it's nice for smaall children or teensREAD MORE,great headphone one best great bass beat main con bit uncomfortable soi wont recommend buy head big adultits nice smaall child teensread,POSITIF
Pros=        Vocals are great love it        Bass is decent        Battery is 7-8 hours        Built quality is good looks premium also foldable Cons=        Connectivity problem appears when you use on terrace          and put phone on a pocket maybe due to bluetooth 4.1Conclusion = A Great Purchase of no doubt                          Best buy even you purchase under 1400                         I suggest buy on offer or sale I purchase it for                                   ...READ MORE,pro vocal great love bass decent battery hour built quality good look premium also foldable con connectivity problem appears use terrace put phone pocket maybe due bluetooth conclusion great purchase doubt best buy even purchase suggest buy offer sale purchase read,POSITIF
Don't buy  colour with cotton cushion  it don't look that good I prefer the one with leather air cushion.  Sound quality : 9/10 in this price range It is goodBass : 7/10 I didn't get that much Design : 9/10 recommend to  buy one with leather cushion Battery : 10/10 Notice cancellation is also gud  I recommend to buy this product at sale u can get it at cheap price..Plz guyz don't buy this headphone to play pubg bass of this heaphone disturb while gaming u can't get crystal clear  qual...READ MORE,dont buy colour cotton cushion dont look good prefer one leather air cushion sound quality price range goodbass didnt get much design recommend buy one leather cushion battery notice cancellation also gud recommend buy product sale get cheap priceplz guyz dont buy headphone play pubg bass heaphone disturb gaming cant get crystal clear qualread,POSITIF
"recieved in good packaging,really very thankful to Flipkart for such a wonderful experience with u.one minor issue found in bass heads and it was the cushions material....the material used in blue color headset were made of cloth which are not durable comparing from the others color variants of the same model.....READ MORE",recieved good packagingreally thankful flipkart wonderful experience uone minor issue found bass head cushion materialthe material used blue color headset made cloth durable comparing others color variant modelread,POSITIF
"A very good product by boat. I like the design of headphones and sound quality is very very good, battery backup is also very good. I am using it for playing pubg and listening music. I just loved the product.READ MORE",good product boat like design headphone sound quality good battery backup also good using playing pubg listening music loved productread,POSITIF
"An excellent buy for this price. Great sound. Decent bass. If your phone or laptop has an equaliser , you can change your settings and listen to great theatre like sound . They are also light weight and so not cause too much pressure when you wear them for long .READ MORE",excellent buy price great sound decent bass phone laptop equaliser change setting listen great theatre like sound also light weight cause much pressure wear long read,POSITIF
bass is very good brought the product for rs999 and is best for the value for money delivery by flipkart is super fast delivered one day before the given dateREAD MORE,bass good brought product best value money delivery flipkart super fast delivered one day given dateread,POSITIF
good product in cheap price even very better than JBL first I also buyied JBL but it is not so good but this is very better than itREAD MORE,good product cheap price even better jbl first also buyied jbl good better itread,POSITIF
"Bought it for 999 it's definitely worth for the amount we are paid to get those,Pros1. High Bass with HD Sound Quality (Use Poweramp Music Player to get best of this headphone).2. Battery Backup - Those who use 3-4 hours daily will have a battery backup of 3-5 days (Tested with my limits).ConsBut it will not be able to make you feel comfort and you will regret after buying one of these for the reasons which can easily sort out by the manufacturer.1. The Ear Cushions which are not ...READ MORE",bought definitely worth amount paid get thosepros high bass sound quality use poweramp music player get best headphone battery backup use hour daily battery backup day tested limitsconsbut able make feel comfort regret buying one reason easily sort manufacturer ear cushion read,POSITIF
Good sound quality calls ok battery good bass good overall very goodREAD MORE,good sound quality call battery good bass good overall goodread,POSITIF
"TOTALLY IMPRESSED BY ITS SOUND QUALITY, SATISFIED ,BRILLANT,NICE,WORTH IT!!!!! ..........Value for money. 🤑🤑1.Sound quality is very clear and crystal🤗🙌2.BASS quality is superb....... especially for the Dj remix songs 👂3.the colour(white,gery) is much good looking 4 But the mic is little bit bad. We or the other speaking person not able to hear our voice properly.....in calling time 5.Also the fitting is  quite good but not as much because it is little bit tight over the ears...........READ MORE",totally impressed sound quality satisfied brillantniceworth value money sound quality clear crystalbass quality superb especially remix song colourwhitegery much good looking mic little bit bad speaking person able hear voice properlyin calling time also fitting quite good much little bit tight earsread,POSITIF
Nice Sound Quality will give 4 out of 5Super Bass will give 4 out of 5Design and Quality - will give 4 out of 5Excellent and Super Battery. - will give 4.5 out of 5Around 8 hour Song hearing battery backup.Perfect Fits.Ultralight Weight.Noise Cancellation Up to the mark or Below Average Quality.Voice calling quality is Below Average Quality will give 2.5 out of 5.Mic working good.Aux cable and Data Cable included working Fine.Cushions can be better and very soft.Overall these prod...READ MORE,nice sound quality give super bass give design quality give excellent super battery give around hour song hearing battery backupperfect fitsultralight weightnoise cancellation mark average qualityvoice calling quality average quality give mic working goodaux cable data cable included working finecushions better softoverall prodread,POSITIF
"Bang for the buck.Really great headset. Best headphone at this price.The build quality is very good and it is sturdy and light weight .The sound quality of this headphone is seriously very good and the bass is really amazing. Don't think about others, just go for it. ❤️❤️❤️❤️READ MORE",bang buckreally great headset best headphone pricethe build quality good sturdy light weight sound quality headphone seriously good bass really amazing dont think others read,POSITIF
Packing was good....received in good condition...working very well.Sound quality is actually crystal clear and bass is appreciable !!Overall a nice product and value for money .READ MORE,packing goodreceived good conditionworking wellsound quality actually crystal clear bass appreciable overall nice product value money read,POSITIF
"A decent headphone..i buy it for 1000Rs. Very satisfied with the productpros:1.good design2.good quality look3.Very good BASS4.Light weight5.good battery backupCons:1.its little bit tight..dont know if it get wasy afta using so much..ears getting pain..this problem is seen in many reviews(youtube) also.2.Good for ppl who loves BASS,cz normal sound is little bit straight3.Buttons not feel so durable.READ MORE",decent headphonei buy satisfied productprosgood designgood quality lookvery good basslight weightgood battery backupconsits little bit tightdont know get wasy afta using muchears getting painthis problem seen many reviewsyoutube alsogood ppl love basscz normal sound little bit straightbuttons feel durableread,POSITIF
"Not good at all only because of one reason the headphones don't cover your whole ear and placed over the year which is not comfortable. You can't wear this for a longer time because it starts hurting you. So, try for another one in this price range. There are many available at this cost and better than this.READ MORE",good one reason headphone dont cover whole ear placed year comfortable cant wear longer time start hurting try another one price range many available cost better thisread,NEGATIF
not good packaging but still satisfied with the product worth for money i liked it so much🤙you guys should go for itREAD MORE,good packaging still satisfied product worth money liked muchyou guy itread,POSITIF
"Great budget headphones!! If you are looking for a headphone in this budget don't  think twice. If you're a bass head it is amazing. Battery  is decent  6 hrs on an average, but the fit is not very good. It sometimes feels loose and needs to be adjusted. Overall a good option. Design improvements can get 5 stars.READ MORE",great budget headphone looking headphone budget dont think twice youre bass head amazing battery decent hr average fit good sometimes feel loose need adjusted overall good option design improvement get starsread,POSITIF
One of the best wireless headphones under 1k. Bass is so good and the speciality of boat is it is loud the mids are well contained. Overall satisfied with this headphones.READ MORE,one best wireless headphone bass good speciality boat loud mids well contained overall satisfied headphonesread,POSITIF
"I was really excited about the headphones at first , sound quality is above expectations, bass is also good but the main issue comes in the comfort level.These headphones are not all comfortable you'll start feeling the pain in your ears withing 10-15 mins of use .The worst part is return option is not available in this product you can only exchange it , really disappointed as what's the use of good music if you are not comfortable with the product...😑READ MORE",really excited headphone first sound quality expectation bass also good main issue come comfort levelthese headphone comfortable youll start feeling pain ear withing min use worst part return option available product exchange really disappointed whats use good music comfortable productread,NEGATIF
Awesome !!! 🤩🔥🔥The bass is top notch sounf quality is great even at loud speedthe battery backup is also very good 🤘🏻🔥READ MORE,awesome bass top notch sounf quality great even loud speedthe battery backup also good read,POSITIF
"Got this headphone at just rs. 899 in offer i can say it's just an amazing well worth. Design and build quality is not up to the mark, it's quite uncomfortable too if you wear it for too long or may be I'm feeling it because it's new after using it for a month i may be use to it, that's  alright i was not expecting much either and it can be neglected after seeing it's price but the best part is sound and the bass which lits this headphone. It's amazing to listen songs and if you're a lover of...READ MORE",got headphone offer say amazing well worth design build quality mark quite uncomfortable wear long may feeling new using month may use thats alright expecting much either neglected seeing price best part sound bass lit headphone amazing listen song youre lover ofread,POSITIF
"in Bluetooth connection sound ,bass, all is good but using aux cable cable bass & sound is low and volume button not works on aux cable.and not good for calls and days later ear got paining.READ MORE",bluetooth connection sound bass good using aux cable cable bass sound low volume button work aux cableand good call day later ear got painingread,NEGATIF
"Battery Backup Is ""Ashvatthama"" Which Just Denies To Die , Straightaway 8 Hours Of Travel Couldn't End The Charge , And It Works Pretty Well !Controls Are Great , Easy And Responsive !!😊👍👍A True Wireless Freedom !!!100% Satisfied !👍READ MORE",battery backup ashvatthama denies die straightaway hour travel couldnt end charge work pretty well control great easy responsive true wireless freedom satisfied read,POSITIF
"Hey fellows .. the headphones are awesome superb base,superb built quality with metal holders      too good . I got it for Rs.999 .. u may get it fr d same rate on salesREAD MORE",hey fellow headphone awesome superb basesuperb built quality metal holder good got may get rate salesread,POSITIF
Decent buy for music & for gaming Wired Gives Best Experience But at last An Excellent For Daily Use 😊. I have used it for 1 yr & Writing Review After 1 yr I have broken It's plastic Once But I have Fixed it by Tape But an decent But. Not Recommend for A too Rough UseREAD MORE,decent buy music gaming wired give best experience last excellent daily use used writing review broken plastic fixed tape decent recommend rough useread,POSITIF
Good choice best bass and sound quality very good I like this productREAD MORE,good choice best bass sound quality good like productread,POSITIF
order It on may 18 for 12days itz work properly but suddenly one side of the speaker I not working properly now. this is your quality of your products which only working for 10 daysREAD MORE,order may day itz work properly suddenly one side speaker working properly quality product working daysread,NEGATIF
